Symbol,Lot Size (Jan 2026)
BANKNIFTY,30
FINNIFTY,60
MIDCPNIFTY,120
NIFTY,65
NIFTYNXT50,25
360ONE,500
ABB,125
ABCAPITAL,3100
ADANIENSOL,675
ADANIENT,309
ADANIGREEN,600
ADANIPORTS,475
ALKEM,125
AMBER,100
AMBUJACEM,1050
ANGELONE,250
APLAPOLLO,350
APOLLOHOSP,125
ASHOKLEY,5000
ASIANPAINT,250
ASTRAL,425
AUBANK,1000
AUROPHARMA,550
AXISBANK,625
BAJAJ-AUTO,75
BAJAJFINSV,250
BAJAJHLDNG,50
BAJFINANCE,750
BANDHANBNK,3600
BANKBARODA,2925
BANKINDIA,5200
BDL,350
BEL,1425
BHARATFORG,500
BHARTIARTL,475
BHEL,2625
BIOCON,2500
BLUESTARCO,325
BOSCHLTD,25
BPCL,1975
BRITANNIA,125
BSE,375
CAMS,750
CANBK,6750
CDSL,475
CGPOWER,850
CHOLAFIN,625
CIPLA,375
COALINDIA,1350
COFORGE,375
COLPAL,225
CONCOR,1250
CROMPTON,1800
CUMMINSIND,200
DABUR,1250
DALBHARAT,325
DELHIVERY,2075
DIVISLAB,100
DIXON,50
DLF,825
DMART,150
DRREDDY,625
EICHERMOT,100
ETERNAL,2425
EXIDEIND,1800
FEDERALBNK,5000
FORTIS,775
GAIL,3150
GLENMARK,375
GMRAIRPORT,6975
GODREJCP,500
GODREJPROP,275
GRASIM,250
HAL,150
HAVELLS,500
HCLTECH,350
HDFCAMC,300
HDFCBANK,550
HDFCLIFE,1100
HEROMOTOCO,150
HINDALCO,700
HINDPETRO,2025
HINDUNILVR,300
HINDZINC,1225
HUDCO,2775
ICICIBANK,700
ICICIGI,325
ICICIPRULI,925
IDEA,71475
IDFCFIRSTB,9275
IEX,3750
IIFL,1650
INDHOTEL,1000
INDIANB,1000
INDIGO,150
INDUSINDBK,700
INDUSTOWER,1700
INFY,400
INOXWIND,3575
IOC,4875
IRCTC,875
IREDA,3450
IRFC,4250
ITC,1600
JINDALSTEL,625
JIOFIN,2350
JSWENERGY,1000
JSWSTEEL,675
JUBLFOOD,1250
KALYANKJIL,1175
KAYNES,100
KEI,175
KFINTECH,500
KOTAKBANK,400
KPITTECH,425
LAURUSLABS,850
LICHSGFIN,1000
LICI,700
LODHA,450
LT,175
LTF,2250
LTIM,150
LUPIN,425
M&M,200
MANAPPURAM,3000
MANKIND,225
MARICO,1200
MARUTI,50
MAXHEALTH,525
MAZDOCK,200
MCX,625
MFSL,400
MOTHERSON,6150
MPHASIS,275
MUTHOOTFIN,275
NATIONALUM,3750
NAUKRI,375
NBCC,6500
NESTLEIND,500
NHPC,6400
NMDC,6750
NTPC,1500
NUVAMA,500
NYKAA,3125
OBEROIRLTY,350
OFSS,75
OIL,1400
ONGC,2250
PAGEIND,15
PATANJALI,900
PAYTM,725
PERSISTENT,100
PETRONET,1900
PFC,1300
PGEL,950
PHOENIXLTD,350
PIDILITIND,500
PIIND,175
PNB,8000
PNBHOUSING,650
POLICYBZR,350
POLYCAB,125
POWERGRID,1900
POWERINDIA,50
PPLPHARMA,2625
PREMIERENE,575
PRESTIGE,450
RBLBANK,3175
RECLTD,1400
RELIANCE,500
RVNL,1525
SAIL,4700
SAMMAANCAP,4300
SBICARD,800
SBILIFE,375
SBIN,750
SHREECEM,25
SHRIRAMFIN,825
SIEMENS,175
SOLARINDS,50
SONACOMS,1225
SRF,200
SUNPHARMA,350
SUPREMEIND,175
SUZLON,9025
SWIGGY,1300
SYNGENE,1000
TATACONSUM,550
TATAELXSI,100
TATAPOWER,1450
TATASTEEL,5500
TATATECH,800
TCS,175
TECHM,600
TIINDIA,200
TITAN,175
TMPV,800
TORNTPHARM,250
TORNTPOWER,425
TRENT,100
TVSMOTOR,175
ULTRACEMCO,50
UNIONBANK,4425
UNITDSPR,400
UNOMINDA,550
UPL,1355
VBL,1125
VEDL,1150
VOLTAS,375
WAAREEENER,175
WIPRO,3000
YESBANK,31100
ZYDUSLIFE,900
