Date,Symbol,Signal,Entry_Price,Next_Day_Close,PnL_%,Result
2025-11-10,AUROPHARMA,BUY,1145.300048828125,1166.5999755859375,1.86,WIN ✅
2025-11-10,BDL,BUY,1510.0999755859375,1532.0,1.45,WIN ✅
2025-11-10,CHOLAFIN,BUY,1746.0999755859375,1731.0999755859375,-0.86,LOSS ❌
2025-11-10,COCHINSHIP,BUY,1763.300048828125,1763.199951171875,-0.01,LOSS ❌
2025-11-10,ENRIN,BUY,3298.39990234375,3250.60009765625,-1.45,LOSS ❌
2025-11-10,FORTIS,SELL,1001.2000122070312,988.0,1.32,WIN ✅
2025-11-10,GRASIM,BUY,2778.699951171875,2764.699951171875,-0.5,LOSS ❌
2025-11-10,HAL,BUY,4775.7998046875,4858.10009765625,1.72,WIN ✅
2025-11-10,HINDZINC,BUY,483.6499938964844,485.3500061035156,0.35,WIN ✅
2025-11-10,INFY,BUY,1517.9000244140625,1527.4000244140625,0.63,WIN ✅
2025-11-10,IRB,SELL,43.34000015258789,42.97999954223633,0.83,WIN ✅
2025-11-10,JUBLFOOD,BUY,587.0,579.7999877929688,-1.23,LOSS ❌
2025-11-10,LICI,SELL,905.0,901.0,0.44,WIN ✅
2025-11-10,LTIM,BUY,5673.0,5667.0,-0.11,LOSS ❌
2025-11-10,LUPIN,BUY,2027.0,1975.0,-2.57,LOSS ❌
2025-11-10,MAZDOCK,BUY,2721.5,2743.39990234375,0.8,WIN ✅
2025-11-10,MUTHOOTFIN,BUY,3293.800048828125,3354.800048828125,1.85,WIN ✅
2025-11-10,NYKAA,BUY,261.94000244140625,262.42999267578125,0.19,WIN ✅
2025-11-10,PREMIERENE,SELL,1005.2999877929688,1012.9000244140625,-0.76,LOSS ❌
2025-11-10,SAIL,BUY,144.9600067138672,144.0800018310547,-0.61,LOSS ❌
2025-11-10,TORNTPHARM,BUY,3814.0,3837.60009765625,0.62,WIN ✅
2025-11-10,TORNTPOWER,BUY,1306.0,1325.4000244140625,1.49,WIN ✅
2025-11-10,TRENT,SELL,4299.10009765625,4310.0,-0.25,LOSS ❌
2025-11-10,VOLTAS,BUY,1349.0,1308.300048828125,-3.02,LOSS ❌
