date,time,symbol,direction,result,entry_price,orh,orl,prev_close,day_high,day_low,exit_price,exit_reason,PnL_%,equity_curve,cumulative_pnl
2026-02-05,09:50:02,ABCAPITAL,SELL,WIN,335.8,342.85,338.05,346.6,345.6,335.2,335.49,Trailing Stop,0.09,100.08999999999999,0.0899999999999892
2026-02-05,09:50:02,KALYANKJIL,SELL,WIN,379.4,385.05,381.45,387.2,382.6,377.2,377.6,Target (Midpoint),0.47,100.56042299999999,0.5604229999999859
2026-02-05,09:50:02,LTF,SELL,WIN,279.35,283.85,281.35,287.1,284.75,278.55,278.83,Trailing Stop,0.19,100.75148780369999,0.7514878036999875
2026-02-05,09:50:02,MUTHOOTFIN,SELL,WIN,3567.8,3618.0,3575.1,3721.7,3598.8,3566.4,3567.27,Trailing Stop,0.01,100.76156295248036,0.7615629524803609
2026-02-05,09:50:02,PRESTIGE,SELL,WIN,1500.7,1518.5,1503.6,1533.5,1533.6,1498.0,1498.56,Trailing Stop,0.14,100.90262914061384,0.9026291406138398
2026-02-05,09:50:02,SONACOMS,SELL,LOSS,522.85,529.05,524.5,532.85,529.0,522.85,523.01,Trailing Stop,-0.03,100.87235835187165,0.8723583518716538
2026-02-05,09:50:02,SUZLON,SELL,LOSS,48.67,49.69,49.15,49.77,49.2,48.67,48.72,Trailing Stop,-0.1,100.77148599351978,0.7714859935197751
2026-02-05,09:50:02,TATAPOWER,SELL,LOSS,361.9,366.7,363.0,371.55,365.4,361.9,362.01,Trailing Stop,-0.03,100.74125454772172,0.7412545477217236
2026-02-05,09:50:02,TIINDIA,SELL,WIN,2482.5,2547.2,2493.4,2637.4,2481.6,2472.5,2474.59,Trailing Stop,0.32,101.06362656227444,1.063626562274436
2026-02-05,09:50:02,VEDL,SELL,WIN,653.9,663.6,656.5,687.8,657.6,652.5,652.9,Trailing Stop,0.15,101.21522200211786,1.215222002117855
2026-02-05,10:27:00,BDL,SELL,WIN,1255.3,1284.3,1259.8,1304.0,1279.5,1250.9,1251.79,Trailing Stop,0.28,101.49862462372377,1.4986246237237708
2026-02-05,10:27:00,HAL,SELL,WIN,3960.0,4070.0,3971.5,4217.1,4076.0,3955.0,3956.65,Trailing Stop,0.08,101.57982352342275,1.5798235234227462
2026-02-05,10:27:00,NYKAA,BUY,LOSS,258.78,256.76,254.03,251.03,258.95,256.6,258.73,Trailing Stop,-0.02,101.55950755871807,1.5595075587180673
2026-02-09,09:36:56,LODHA,BUY,WIN,1081.45,1079.95,1067.0,1055.1,1082.1,1075.0,1081.88,Trailing Stop,0.04,101.60013136174155,1.6001313617415462
2026-02-09,09:36:56,POLYCAB,BUY,WIN,7793.0,7775.5,7704.5,7623.5,7801.5,7769.5,7798.9,Trailing Stop,0.08,101.68141146683094,1.6814114668309372
2026-02-09,09:42:42,BANKINDIA,BUY,LOSS,169.64,169.37,167.44,163.66,169.66,168.0,169.63,Trailing Stop,-0.01,101.67124332568426,1.6712433256842587
2026-02-09,09:42:42,BLUESTARCO,BUY,WIN,1915.5,1908.2,1894.5,1880.9,1920.5,1905.9,1919.27,Trailing Stop,0.2,101.87458581233562,1.8745858123356243
2026-02-09,09:42:42,INDUSTOWER,BUY,LOSS,451.8,451.05,445.7,443.35,451.8,448.2,451.72,Trailing Stop,-0.02,101.85421089517315,1.8542108951731535
2026-02-09,09:42:42,KALYANKJIL,BUY,WIN,419.9,418.25,406.85,380.25,421.6,413.15,421.27,Trailing Stop,0.33,102.19032979112723,2.190329791127226
2026-02-09,09:42:42,LTF,BUY,WIN,292.3,291.65,288.1,285.3,292.4,291.45,292.32,Trailing Stop,0.01,102.20054882410633,2.2005488241063347
2026-02-09,09:42:42,POLICYBZR,BUY,LOSS,1550.5,1547.7,1528.8,1504.9,1550.5,1528.0,1550.22,Trailing Stop,-0.02,102.18010871434151,2.1801087143415145
2026-02-09,09:42:42,PRESTIGE,BUY,LOSS,1603.7,1598.5,1580.0,1555.9,1604.2,1581.0,1603.63,Trailing Stop,-0.0,102.18010871434151,2.1801087143415145
2026-02-09,09:42:42,RECLTD,SELL,WIN,365.05,372.9,366.75,372.5,365.15,362.05,362.52,Trailing Stop,0.69,102.88515146447047,2.885151464470468
2026-02-09,09:42:42,SHREECEM,SELL,WIN,26510.0,26855.0,26620.0,27330.0,27260.0,26460.0,26476.0,Trailing Stop,0.13,103.01890216137429,3.0189021613742852
2026-02-09,09:42:42,UNIONBANK,BUY,LOSS,181.5,180.6,179.63,178.13,181.5,179.35,181.41,Trailing Stop,-0.05,102.96739271029361,2.967392710293609
2026-02-09,09:48:30,IRB,BUY,LOSS,44.31,44.25,43.9,43.14,44.31,43.95,44.3,Trailing Stop,-0.02,102.94679923175156,2.9467992317515552
2026-02-09,09:54:15,BHEL,BUY,WIN,272.35,271.6,268.85,266.6,272.7,271.65,272.59,Trailing Stop,0.09,103.03945135106012,3.039451351060123
2026-02-09,09:54:15,DRREDDY,BUY,WIN,1263.9,1261.3,1251.5,1241.2,1264.8,1261.0,1264.45,Trailing Stop,0.04,103.08066713160055,3.080667131600549
2026-02-09,09:54:15,KEI,BUY,WIN,4545.0,4512.3,4475.6,4462.6,4554.8,4536.6,4550.55,Trailing Stop,0.12,103.20436393215847,3.204363932158472
2026-02-09,09:54:15,TIINDIA,BUY,WIN,2359.7,2354.0,2335.7,2313.6,2363.8,2345.8,2362.82,Trailing Stop,0.13,103.33852960527028,3.3385296052702813
2026-02-09,10:00:03,BHARATFORG,BUY,WIN,1595.6,1592.6,1578.5,1557.5,1597.9,1580.2,1597.37,Trailing Stop,0.11,103.45220198783609,3.452201987836091
2026-02-09,10:00:03,ETERNAL,BUY,LOSS,288.95,287.9,285.95,283.55,288.95,285.9,288.85,Trailing Stop,-0.03,103.42116632723975,3.421166327239746
2026-02-09,10:00:03,GODREJPROP,BUY,WIN,1804.0,1801.0,1767.4,1699.8,1815.1,1789.5,1813.69,Trailing Stop,0.54,103.97964062540684,3.9796406254068444
2026-02-09,10:00:03,INDUSINDBK,BUY,WIN,922.15,910.95,902.2,903.6,934.8,918.8,932.41,Trailing Stop,1.11,105.13381463634887,5.133814636348873
2026-02-09,10:00:03,KOTAKBANK,BUY,LOSS,430.0,429.4,425.75,422.35,430.0,424.35,429.94,Trailing Stop,-0.01,105.12330125488523,5.123301254885234
2026-02-09,10:00:03,MOTILALOFS,BUY,LOSS,801.95,797.7,788.95,779.8,801.95,792.7,801.53,Trailing Stop,-0.05,105.0707396042578,5.0707396042577955
2026-02-09,10:00:03,OIL,SELL,LOSS,487.85,500.75,492.35,497.25,494.4,487.45,487.94,Trailing Stop,-0.02,105.04972545633694,5.049725456336944
2026-02-09,10:05:49,VOLTAS,BUY,LOSS,1466.1,1454.0,1445.1,1435.0,1466.9,1463.3,1465.61,Trailing Stop,-0.03,105.01821053870005,5.018210538700046
2026-02-09,10:17:55,SHRIRAMFIN,BUY,WIN,1022.0,1014.8,1004.9,1002.5,1025.7,1022.4,1024.61,Trailing Stop,0.26,105.29125788610067,5.2912578861006665
2026-02-09,10:23:57,CGPOWER,BUY,WIN,690.25,687.5,682.0,674.85,693.2,688.6,693.0,Target (Midpoint),0.4,105.71242291764507,5.712422917645071
2026-02-09,10:23:57,GLENMARK,BUY,WIN,1970.3,1965.0,1949.2,1934.8,1972.0,1960.3,1971.3,Trailing Stop,0.05,105.76527912910389,5.765279129103888
2026-02-09,10:29:40,BEL,BUY,LOSS,437.5,435.6,431.6,429.65,437.65,436.1,437.44,Trailing Stop,-0.01,105.75470260119098,5.754702601190985
2026-02-09,10:29:40,HINDALCO,BUY,WIN,959.55,954.9,948.35,942.55,961.7,959.45,961.02,Trailing Stop,0.15,105.91333465509278,5.9133346550927826
2026-02-09,10:29:40,INDIANB,BUY,LOSS,905.6,904.6,895.7,871.2,905.6,896.2,905.5,Trailing Stop,-0.01,105.90274332162727,5.90274332162727
2026-02-10,09:44:31,IRCTC,BUY,LOSS,637.7,636.4,632.15,624.75,637.7,631.35,637.57,Trailing Stop,-0.02,105.88156277296295,5.881562772962951
2026-02-10,09:44:31,KPITTECH,BUY,WIN,982.2,974.9,967.8,964.0,993.9,969.0,992.0,Trailing Stop,1.0,106.94037840069258,6.94037840069258
2026-02-10,09:44:31,POLICYBZR,SELL,WIN,1488.5,1523.9,1490.7,1532.1,1537.8,1486.1,1486.56,Trailing Stop,0.13,107.07940089261349,7.079400892613492
2026-02-10,09:44:31,SWIGGY,BUY,WIN,343.2,341.05,337.1,333.7,345.6,342.1,345.18,Target (Midpoint),0.58,107.70046141779065,7.700461417790649
2026-02-10,09:50:16,BSE,BUY,WIN,3179.0,3175.0,3128.7,2985.1,3180.0,3091.0,3179.5,Trailing Stop,0.02,107.72200151007421,7.722001510074207
2026-02-10,09:50:16,ETERNAL,BUY,WIN,297.2,295.2,291.75,288.85,297.45,295.55,297.23,Trailing Stop,0.01,107.73277371022522,7.732773710225217
2026-02-10,09:50:16,TATASTEEL,BUY,WIN,205.86,204.3,201.84,202.0,207.5,206.25,207.18,Trailing Stop,0.64,108.42226346197066,8.422263461970658
2026-02-10,09:50:16,TECHM,BUY,LOSS,1653.3,1629.7,1616.4,1621.7,1653.3,1636.6,1650.94,Trailing Stop,-0.14,108.2704722931239,8.270472293123902
2026-02-10,09:56:43,CUMMINSIND,SELL,WIN,4337.9,4381.8,4358.3,4427.5,4427.2,4332.6,4335.17,Trailing Stop,0.06,108.33543457649976,8.335434576499765
2026-02-10,09:56:43,JIOFIN,BUY,LOSS,274.1,273.0,270.95,269.25,274.1,270.0,273.99,Trailing Stop,-0.04,108.29210040266916,8.292100402669163
2026-02-10,09:56:43,NHPC,SELL,WIN,77.06,77.68,77.16,78.9,77.72,76.96,76.98,Trailing Stop,0.1,108.40039250307181,8.400392503071814
2026-02-10,09:56:43,TATATECH,BUY,LOSS,631.75,626.65,623.2,619.15,631.75,629.0,631.24,Trailing Stop,-0.08,108.31367218906935,8.31367218906935
2026-02-10,10:02:27,CHOLAFIN,SELL,WIN,1737.7,1761.0,1750.2,1770.2,1754.4,1733.1,1734.81,Trailing Stop,0.17,108.49780543179077,8.497805431790766
2026-02-10,10:02:27,TATACOMM,BUY,WIN,1602.7,1599.0,1588.8,1573.6,1611.3,1590.6,1610.07,Trailing Stop,0.46,108.996895336777,8.996895336777001
2026-02-10,10:02:27,TORNTPOWER,BUY,WIN,1453.8,1450.9,1426.8,1427.2,1454.5,1450.0,1454.14,Trailing Stop,0.02,109.01869471584435,9.018694715844347
2026-02-10,10:08:11,HINDZINC,SELL,WIN,617.45,622.5,618.6,629.1,620.95,617.0,617.16,Trailing Stop,0.05,109.07320406320227,9.073204063202269
2026-02-10,10:13:57,BAJFINANCE,SELL,WIN,965.35,979.0,974.1,983.15,970.35,961.5,962.76,Trailing Stop,0.27,109.36770171417291,9.36770171417291
2026-02-10,10:13:57,MOTHERSON,BUY,WIN,127.24,126.9,124.41,124.41,127.37,125.43,127.32,Trailing Stop,0.06,109.43332233520141,9.43332233520141
2026-02-10,10:13:57,VMM,BUY,WIN,125.1,123.41,122.76,122.26,125.5,125.13,125.42,Target (Midpoint),0.26,109.71784897327292,9.717848973272922
2026-02-23,10:05:56,ADANIPORTS,BUY,LOSS,1558.6,1549.6,1528.0,1511.5,1558.6,1541.1,1557.7,Trailing Stop,-0.06,109.65201826388895,9.652018263888948
2026-02-23,10:05:56,CHOLAFIN,BUY,WIN,1704.8,1693.6,1680.4,1669.6,1706.8,1682.7,1705.48,Trailing Stop,0.04,109.6958790711945,9.695879071194497
2026-02-23,10:05:56,COFORGE,SELL,WIN,1309.0,1334.0,1323.8,1340.6,1312.4,1306.3,1308.05,Trailing Stop,0.07,109.77266618654433,9.772666186544328
2026-02-23,10:05:56,CUMMINSIND,BUY,LOSS,4882.4,4812.0,4781.2,4733.9,4882.4,4801.0,4875.36,Trailing Stop,-0.14,109.61898445388317,9.618984453883172
2026-02-23,10:05:56,HAL,SELL,LOSS,4057.3,4128.3,4100.6,4170.0,4063.1,4055.0,4059.56,Trailing Stop,-0.06,109.55321306321083,9.553213063210833
2026-02-23,10:05:56,HDFCLIFE,BUY,LOSS,742.75,742.0,736.7,728.65,742.75,739.95,742.67,Trailing Stop,-0.01,109.5422577419045,9.542257741904507
2026-02-23,10:05:56,IDFCFIRSTB,SELL,LOSS,68.67,75.16,70.98,83.51,71.07,68.56,68.8,Trailing Stop,-0.19,109.33412745219489,9.334127452194892
2026-02-23,10:05:56,INDIANB,BUY,LOSS,980.8,973.65,953.8,946.7,981.3,971.5,980.53,Trailing Stop,-0.03,109.30132721395924,9.30132721395924
2026-02-23,10:05:56,ITCHOTELS,BUY,WIN,182.41,181.98,178.86,176.68,182.67,180.56,182.6,Trailing Stop,0.1,109.41062854117318,9.410628541173182
2026-02-23,10:05:56,LTIM,SELL,WIN,4801.0,4876.0,4827.0,4889.5,4849.0,4787.0,4791.0,Trailing Stop,0.21,109.64039086110965,9.640390861109651
2026-02-23,10:05:56,PNB,BUY,LOSS,132.34,132.2,130.85,129.59,132.34,130.0,132.33,Trailing Stop,-0.01,109.62942682202355,9.629426822023547
2026-02-23,10:05:56,SBILIFE,BUY,WIN,2124.7,2111.5,2092.0,2080.0,2131.1,2100.0,2129.14,Trailing Stop,0.21,109.8596486183498,9.859648618349794
2026-02-23,10:05:56,UNIONBANK,BUY,LOSS,199.68,199.15,195.5,193.98,199.73,196.22,199.67,Trailing Stop,-0.01,109.84866265348796,9.848662653487963
2026-02-23,10:05:56,UPL,SELL,WIN,660.95,698.35,677.15,752.35,664.05,656.55,658.61,Trailing Stop,0.35,110.23313297277518,10.23313297277518
2026-02-23,10:12:03,ADANIGREEN,BUY,LOSS,985.7,982.6,970.65,968.25,985.7,962.0,985.39,Trailing Stop,-0.03,110.20006303288335,10.20006303288335
2026-02-23,10:12:03,DIXON,SELL,WIN,10866.0,10983.0,10900.0,11072.0,10894.0,10831.0,10837.9,Trailing Stop,0.26,110.48658319676883,10.486583196768834
2026-02-23,10:18:03,AXISBANK,BUY,WIN,1401.0,1397.8,1386.9,1368.3,1401.7,1381.3,1401.31,Trailing Stop,0.02,110.50868051340818,10.50868051340818
2026-02-23,10:23:58,ADANIENT,BUY,LOSS,2199.7,2185.0,2167.8,2160.8,2199.7,2166.1,2198.23,Trailing Stop,-0.07,110.43132443704879,10.431324437048787
2026-02-23,10:23:58,BDL,SELL,WIN,1277.3,1309.4,1299.5,1310.4,1279.4,1273.5,1276.1,Trailing Stop,0.09,110.53071262904211,10.530712629042114
2026-02-23,10:23:58,BHARATFORG,BUY,LOSS,1821.5,1814.9,1798.7,1780.0,1821.5,1805.9,1820.84,Trailing Stop,-0.04,110.4865003439905,10.4865003439905
2026-02-23,10:23:58,GODFRYPHLP,SELL,WIN,2300.3,2393.6,2306.0,2523.7,2309.0,2299.3,2299.97,Trailing Stop,0.01,110.4975489940249,10.497548994024896
2026-02-23,10:29:40,WIPRO,SELL,WIN,205.64,210.5,209.0,209.86,206.34,204.77,204.89,Target (Midpoint),0.36,110.89534017040339,10.895340170403387
2026-02-27,09:48:21,360ONE,SELL,WIN,1107.5,1124.5,1110.9,1128.3,1111.7,1102.8,1103.61,Trailing Stop,0.35,111.2834738609998,11.283473860999806
2026-02-27,09:48:21,ABCAPITAL,SELL,WIN,347.15,351.5,349.0,356.15,347.8,344.1,344.59,Trailing Stop,0.74,112.10697156757121,12.106971567571208
2026-02-27,09:48:21,MOTILALOFS,SELL,WIN,717.7,724.9,719.65,731.1,735.5,715.7,716.1,Trailing Stop,0.22,112.35360690501986,12.35360690501986
2026-02-27,09:48:21,MUTHOOTFIN,SELL,WIN,3365.7,3425.0,3407.3,3435.9,3381.4,3346.1,3352.22,Trailing Stop,0.4,112.80302133263994,12.803021332639943
2026-02-27,09:48:21,ULTRACEMCO,SELL,WIN,12680.0,12867.0,12793.0,12937.0,12780.0,12661.0,12674.2,Trailing Stop,0.05,112.85942284330626,12.859422843306263
2026-02-27,09:56:03,GODREJCP,SELL,WIN,1216.8,1229.1,1220.2,1239.2,1229.4,1216.0,1216.42,Trailing Stop,0.03,112.89328067015926,12.893280670159257
2026-02-27,09:56:03,LTF,SELL,WIN,287.65,291.7,288.65,299.9,293.5,287.3,287.43,Trailing Stop,0.08,112.98359529469538,12.983595294695377
2026-02-27,09:56:03,NESTLEIND,SELL,LOSS,1294.2,1308.0,1298.7,1318.0,1299.8,1294.0,1294.47,Trailing Stop,-0.02,112.96099857563644,12.960998575636438
2026-02-27,09:56:03,SHRIRAMFIN,SELL,WIN,1083.7,1095.0,1088.1,1104.6,1089.1,1082.9,1083.42,Trailing Stop,0.03,112.99488687520912,12.994886875209119
2026-02-27,10:03:28,BSE,SELL,LOSS,2730.4,2781.0,2762.0,2800.9,2760.0,2730.4,2733.56,Trailing Stop,-0.12,112.85929301095887,12.859293010958865
2026-02-27,10:03:28,DABUR,SELL,WIN,514.55,522.7,518.55,524.45,523.2,513.05,513.6,Trailing Stop,0.18,113.0624397383786,13.0624397383786
2026-02-27,10:03:28,IREDA,SELL,LOSS,122.36,124.48,123.05,124.75,123.31,122.33,122.4,Trailing Stop,-0.03,113.0285210064571,13.028521006457098
2026-02-27,10:03:28,M&MFIN,SELL,WIN,377.05,383.3,378.8,386.65,380.5,376.6,376.82,Trailing Stop,0.06,113.09633811906096,13.09633811906096
2026-02-27,10:03:28,POLICYBZR,SELL,LOSS,1492.7,1520.6,1510.2,1524.8,1498.1,1492.0,1493.82,Trailing Stop,-0.08,113.0058610485657,13.005861048565706
2026-02-27,10:03:28,SONACOMS,SELL,LOSS,534.15,542.55,537.85,545.35,537.9,534.15,534.52,Trailing Stop,-0.07,112.92675694583171,12.926756945831713
2026-02-27,10:10:37,COROMANDEL,SELL,WIN,2231.1,2270.7,2240.0,2330.6,2263.2,2228.0,2229.2,Trailing Stop,0.09,113.02839102708295,13.028391027082947
