symbol,open,ORH,ORL,close,prev_close,Pivot,Range,S1,R1,date
360ONE,1110.699951171875,1117.199951171875,1103.0999755859375,1109.5,1112.300048828125,1115.5333251953125,33.9000244140625,1102.5835158691407,1128.4831345214843,2026-01-27
ABB,4661.5,4694.0,4650.0,4669.5,4694.5,4712.666666666667,106.5,4671.983666666667,4753.349666666667,2026-01-27
ABCAPITAL,349.20001220703125,349.75,345.6000061035156,347.75,347.45001220703125,349.9166666666667,13.70001220703125,344.68326200358075,355.1500713297526,2026-01-27
ACC,1677.800048828125,1687.0999755859375,1669.0,1682.0999755859375,1669.0999755859375,1687.3333333333333,65.0999755859375,1662.465142659505,1712.2015240071614,2026-01-27
ADANIENSOL,821.2000122070312,838.7000122070312,812.5,838.0999755859375,812.7000122070312,846.9333292643229,121.9000244140625,800.367519938151,893.4991385904948,2026-01-27
ADANIENT,1903.0999755859375,1935.0,1893.0,1934.4000244140625,1864.199951171875,1931.566650390625,234.5,1841.987650390625,2021.145650390625,2026-01-27
ADANIGREEN,779.0,806.5,768.2000122070312,806.5,772.7999877929688,815.5999959309896,144.0,760.5919959309896,870.6079959309897,2026-01-27
ADANIPORTS,1332.0999755859375,1347.300048828125,1322.5,1340.800048828125,1308.4000244140625,1339.1333414713542,125.0,1291.3833414713542,1386.8833414713542,2026-01-27
ADANIPOWER,134.0500030517578,135.6199951171875,132.97000122070312,135.3699951171875,132.9600067138672,134.65333557128906,14.79998779296875,128.999740234375,140.30693090820313,2026-01-27
ALKEM,5734.5,5773.0,5714.0,5753.0,5750.5,5762.0,87.5,5728.575,5795.425,2026-01-27
AMBUJACEM,527.6500244140625,530.3499755859375,526.4500122070312,528.5499877929688,518.5999755859375,526.066660563151,37.399993896484375,511.77986289469396,540.353458231608,2026-01-27
APLAPOLLO,2042.699951171875,2057.699951171875,2037.300048828125,2047.0999755859375,2000.0999755859375,2020.7666829427083,79.0001220703125,1990.5886363118489,2050.9447295735677,2026-01-27
APOLLOHOSP,6748.0,6779.5,6710.5,6769.0,6803.0,6778.5,139.5,6725.211,6831.789,2026-01-27
ASHOKLEY,189.25999450683594,191.5500030517578,188.0,190.97999572753906,192.97999572753906,194.0633341471354,9.210006713867188,190.54511158243815,197.58155671183266,2026-01-27
ASIANPAINT,2712.60009765625,2716.800048828125,2696.39990234375,2708.10009765625,2703.699951171875,2725.7999674479165,92.099853515625,2690.6178234049476,2760.9821114908855,2026-01-27
ASTRAL,1380.9000244140625,1389.699951171875,1375.800048828125,1381.800048828125,1383.9000244140625,1395.7333577473958,47.300048828125,1377.664739095052,1413.8019763997395,2026-01-27
ATGL,519.7000122070312,527.1500244140625,513.5,526.5,517.4500122070312,525.0500081380209,43.60003662109375,508.3947941487631,541.7052221272787,2026-01-27
AUBANK,961.2999877929688,962.4500122070312,954.7999877929688,956.8499755859375,966.0999755859375,978.0999959309896,45.60003662109375,960.6807819417318,995.5192099202475,2026-01-27
AUROPHARMA,1129.5999755859375,1130.0999755859375,1123.699951171875,1126.199951171875,1132.5,1134.6000162760417,29.699951171875,1123.2546349283855,1145.945397623698,2026-01-27
AXISBANK,1304.5999755859375,1308.300048828125,1302.0999755859375,1305.5,1258.0,1268.3333333333333,51.0,1248.8513333333333,1287.8153333333332,2026-01-27
BAJAJ-AUTO,9387.5,9411.5,9330.5,9363.0,9413.5,9432.166666666666,213.0,9350.800666666666,9513.532666666666,2026-01-27
