date,symbol,direction,time
2025-11-10,AUROPHARMA,BUY,12:50:28
2025-11-10,BDL,BUY,12:50:28
2025-11-10,CHOLAFIN,BUY,12:50:28
2025-11-10,COCHINSHIP,BUY,12:50:28
2025-11-10,ENRIN,BUY,12:50:28
2025-11-10,FORTIS,SELL,12:50:28
2025-11-10,GRASIM,BUY,12:50:28
2025-11-10,HAL,BUY,12:50:28
2025-11-10,HINDZINC,BUY,12:50:28
2025-11-10,INFY,BUY,12:50:28
2025-11-10,IRB,SELL,12:50:28
2025-11-10,JUBLFOOD,BUY,12:50:28
2025-11-10,LICI,SELL,12:50:28
2025-11-10,LTIM,BUY,12:50:28
2025-11-10,LUPIN,BUY,12:50:28
2025-11-10,MAZDOCK,BUY,12:50:28
2025-11-10,MUTHOOTFIN,BUY,12:50:28
2025-11-10,NYKAA,BUY,12:50:28
2025-11-10,PREMIERENE,SELL,12:50:28
2025-11-10,SAIL,BUY,12:50:28
2025-11-10,TORNTPHARM,BUY,12:50:28
2025-11-10,TORNTPOWER,BUY,12:50:28
2025-11-10,TRENT,SELL,12:50:28
2025-11-10,VOLTAS,BUY,12:50:28
2025-11-11,ADANIENSOL,BUY,13:34:45
2025-11-11,ASHOKLEY,BUY,13:34:45
2025-11-11,AUBANK,SELL,13:34:45
2025-11-11,BAJAJFINSV,SELL,13:34:45
2025-11-11,BAJAJHLDNG,SELL,13:34:45
2025-11-11,BAJFINANCE,SELL,13:34:45
2025-11-11,BEL,BUY,13:34:45
2025-11-11,BHEL,BUY,13:34:45
2025-11-11,BPCL,BUY,13:34:45
2025-11-11,COFORGE,BUY,13:34:45
2025-11-11,DIVISLAB,SELL,13:34:45
2025-11-11,HUDCO,SELL,13:34:45
2025-11-11,IDEA,BUY,13:34:45
2025-11-11,INDIGO,BUY,13:34:45
2025-11-11,INDUSINDBK,BUY,13:34:45
2025-11-11,IOC,BUY,13:34:45
2025-11-11,NATIONALUM,BUY,13:34:45
2025-11-11,PERSISTENT,BUY,13:34:45
2025-11-11,POWERINDIA,BUY,13:34:45
2025-11-11,SOLARINDS,BUY,13:34:45
2025-11-11,VOLTAS,SELL,13:34:45
2025-11-11,BAJAJ-AUTO,BUY,14:08:45
2025-11-11,BHARATFORG,BUY,14:08:45
2025-11-11,LTF,SELL,14:08:45
2025-11-11,MOTHERSON,BUY,14:08:45
2025-11-11,JSWSTEEL,BUY,14:22:00
2025-11-11,SWIGGY,BUY,14:22:00
2025-11-11,ADANIPORTS,BUY,14:27:29
2025-11-11,ETERNAL,BUY,14:29:19
2025-11-11,M&M,BUY,14:46:31
2025-11-11,KPITTECH,BUY,14:52:16
2025-11-11,VBL,BUY,14:52:16
2025-11-11,MUTHOOTFIN,BUY,14:58:00
2025-11-11,HCLTECH,BUY,15:03:45
2025-11-11,DIXON,BUY,15:27:27
2025-11-11,MAZDOCK,BUY,15:27:27
2025-11-11,TORNTPOWER,BUY,15:27:27
2025-11-12,ADANIENSOL,BUY,10:40:39
2025-11-12,ADANIENT,BUY,10:40:39
2025-11-12,ADANIGREEN,BUY,10:40:39
2025-11-12,ADANIPORTS,BUY,10:40:39
2025-11-12,ALKEM,BUY,10:40:39
2025-11-12,ATGL,BUY,10:40:39
2025-11-12,CANBK,BUY,10:40:39
2025-11-12,COCHINSHIP,BUY,10:40:39
2025-11-12,FORTIS,SELL,10:40:39
2025-11-12,GLENMARK,BUY,10:40:39
2025-11-12,INDUSINDBK,BUY,10:40:39
2025-11-12,MUTHOOTFIN,SELL,10:40:39
2025-11-12,SOLARINDS,BUY,10:40:39
2025-11-12,TATAELXSI,BUY,10:40:39
2025-11-12,TATATECH,BUY,10:40:39
2025-11-12,TCS,BUY,10:40:39
2025-11-12,TECHM,BUY,10:40:39
2025-11-12,UPL,BUY,10:40:39
2025-11-12,VBL,SELL,10:40:39
2025-11-12,VOLTAS,BUY,10:40:39
2025-11-12,ZYDUSLIFE,BUY,10:40:39
2025-11-12,KPITTECH,BUY,10:46:22
2025-11-12,PREMIERENE,BUY,10:52:04
2025-11-12,OFSS,BUY,11:09:10
2025-11-12,CONCOR,BUY,11:14:54
2025-11-12,MAXHEALTH,SELL,11:26:20
2025-11-12,ASTRAL,BUY,11:43:25
2025-11-12,M&MFIN,SELL,11:43:25
2025-11-12,WAAREEENER,BUY,11:43:25
2025-11-12,BIOCON,BUY,11:49:08
2025-11-12,LTIM,BUY,11:49:08
2025-11-12,PERSISTENT,BUY,11:49:08
2025-11-12,RELIANCE,BUY,11:54:51
2025-11-12,HYUNDAI,BUY,12:12:17
2025-11-12,MFSL,BUY,12:18:04
2025-11-12,HINDALCO,BUY,12:29:29
2025-11-12,IDEA,BUY,12:29:29
2025-11-12,PRESTIGE,SELL,12:29:29
2025-11-12,AMBUJACEM,BUY,13:21:01
2025-11-12,BAJAJFINSV,BUY,13:21:01
2025-11-12,HCLTECH,BUY,13:21:01
2025-11-12,HDFCLIFE,BUY,13:21:01
2025-11-12,HEROMOTOCO,BUY,13:21:01
2025-11-12,INDUSTOWER,BUY,13:21:01
2025-11-12,LUPIN,BUY,13:21:01
2025-11-12,MANKIND,BUY,13:21:01
2025-11-12,PAYTM,SELL,13:21:01
2025-11-12,GODREJPROP,BUY,13:26:49
2025-11-12,IRB,BUY,13:26:49
2025-11-12,DRREDDY,BUY,14:14:23
2025-11-12,PIIND,SELL,14:14:23
2025-11-13,HINDZINC,BUY,09:32:15
2025-11-13,VEDL,BUY,09:32:15
2025-11-13,PIIND,SELL,09:37:54
2025-11-13,IGL,BUY,09:43:36
2025-11-13,SUPREMEIND,SELL,09:43:36
2025-11-13,AUROPHARMA,BUY,10:00:43
2025-11-13,INDUSINDBK,BUY,10:06:27
2025-11-13,POWERINDIA,SELL,10:12:13
2025-11-13,SWIGGY,SELL,10:12:13
2025-11-13,HYUNDAI,BUY,10:17:58
2025-11-13,ICICIBANK,BUY,10:17:58
2025-11-13,ADANIENSOL,BUY,10:23:43
2025-11-13,GLENMARK,BUY,10:29:29
2025-11-13,JIOFIN,BUY,10:29:29
2025-11-13,BIOCON,BUY,10:41:07
2025-11-13,MUTHOOTFIN,BUY,10:52:38
2025-11-13,SOLARINDS,SELL,10:52:38
2025-11-13,INDIGO,BUY,11:10:00
2025-11-13,IDEA,BUY,11:15:46
2025-11-13,TATACOMM,BUY,11:33:02
2025-11-13,MOTILALOFS,BUY,11:38:48
2025-11-13,ETERNAL,SELL,11:44:49
